weight1,weight2,weight3,weight4,weight5,weight_change1,weight_change2,weight_change3,weight_change4,weight_change5,accuracy_before_train,accuracy_after_train_true,accuracy_after_train_false
1.0,1.1,1.2,1.3,1.4,0.6643915772438049,0.8115103840827942,0.8705906271934509,1.0191450119018555,1.3127655982971191,63.482,70.812,73.584
1.0,1.2,1.4,1.6,1.8,0.6546199917793274,0.9056327939033508,1.079482913017273,1.3352526426315308,1.7281817197799683,63.458,72.55,73.9
1.0,1.3,1.6,1.9,2.2,0.6505945324897766,1.0283652544021606,1.2941550016403198,1.6515032052993774,2.1419482231140137,63.226,72.806,73.896
1.0,1.4,1.8,2.2,2.6,0.64601731300354,1.1318327188491821,1.4917519092559814,1.9475740194320679,2.546269416809082,63.502,73.18,72.994
1.0,1.5,2.0,2.5,3.0,0.6421310305595398,1.2205026149749756,1.6844573020935059,2.260768175125122,2.9509429931640625,63.13,72.46,72.306
1.0,1.6,2.2,2.8,3.4,0.660652756690979,1.3164461851119995,1.8876742124557495,2.5588557720184326,3.3495843410491943,63.078,73.528,74.646
1.0,1.7,2.4,3.1,3.8,0.6551288366317749,1.4404196739196777,2.1169166564941406,2.8780698776245117,3.757493257522583,63.2,74.194,73.98
1.0,1.8,2.6,3.4,4.2,0.6445920467376709,1.549340009689331,2.3176846504211426,3.1841280460357666,4.157911777496338,62.902,72.822,74.15
1.0,1.9,2.8,3.7,4.6,0.6453371047973633,1.6415444612503052,2.521336078643799,3.4827280044555664,4.5554094314575195,63.322,73.56,74.066
1.0,2.0,3.0,4.0,5.0,0.6512051224708557,1.7395894527435303,2.7186200618743896,3.7721543312072754,4.9579644203186035,62.378,74.996,72.48
1.0,2.1,3.2,4.3,5.4,0.645610511302948,1.8428009748458862,2.930217742919922,4.10402774810791,5.356133937835693,63.534,74.316,73.12
1.0,2.2,3.4,4.6,5.8,0.6611902713775635,1.9655710458755493,3.1366970539093018,4.400081157684326,5.758296966552734,62.954,73.906,73.89
1.0,2.3,3.6,4.9,6.2,0.6571663618087769,2.0601420402526855,3.337636709213257,4.696587562561035,6.158926010131836,63.126,73.29,73.638
1.0,2.4,3.8,5.2,6.6,0.6452411413192749,2.1440629959106445,3.534592866897583,5.00785493850708,6.559726238250732,62.832,73.51,72.532
1.0,2.5,4.0,5.5,7.0,0.6622458100318909,2.2775816917419434,3.7400617599487305,5.3073883056640625,6.961612701416016,62.796,72.712,72.902
1.0,2.6,4.2,5.8,7.4,0.6432923078536987,2.34591007232666,3.922227621078491,5.600648403167725,7.358880519866943,63.078,74.462,72.718
1.0,2.7,4.4,6.1,7.8,0.6496497392654419,2.453131914138794,4.134537696838379,5.91249418258667,7.764882564544678,62.686,73.35,74.112
1.0,2.8,4.6,6.4,8.2,0.6386021375656128,2.5466251373291016,4.344537258148193,6.213996410369873,8.16079044342041,63.182,73.202,72.55
1.0,2.9,4.8,6.7,8.6,0.6393516659736633,2.656728506088257,4.535192489624023,6.5205888748168945,8.562630653381348,62.98,73.574,73.286
